ID,タイトル
0000010106,Ｆ　労働
0000010106,Ｆ　労働
0003403679,全国の人口，人口増減，面積及び人口密度（大正9年～平成12年）
0003404236,全国の人口階級別市町村数，人口及び人口の割合（大正9年～平成12年）
0003404240,都道府県の人口階級別市町村数，人口及び人口の割合（平成12年）
0003404265,全国の人口集中地区人口階級別市町村数，地区数，人口及び人口の割合（昭和35年～平成12年）
0003404323,年齢（5歳階級），男女別人口及び人口性比－全国*（大正9年～平成12年） その2人口集中地区及び人口集中地区以外の地区－昭和45年～平成12年
0003379097,全国，市部，郡部の人口集中地区，人口集中地区以外の地区別人口，面積及び人口密度（昭和35年～平成12年）
0003379098,都道府県別人口，人口の割合及び人口の指数（大正9年～平成12年）
0003388620,常住地又は従業地・通学地による人口及び昼夜間人口比率－全国，都道府県（平成7年・12年）
0003413757,都道府県の人口集中地区，人口集中地区以外の地区別人口，面積（昭和35年～平成12年）
0003391042,大都市圏並びに都市圏の男女別人口，面積，人口密度，全国に占める割合，人口性比，年齢（3区分）別割合，一般世帯数，一般世帯人員，1世帯当たり人員，施設等の世帯人員，一般世帯に占める割合，持ち家率及び1世帯当たり延べ面積（関東大都市圏－特掲）（平成12年）
0003391043,大都市圏並びに都市圏の常住人口，昼間人口，昼夜間人口比率及び常住地又は従業地による産業（3区分）別15歳以上就業者数（平成12年）
0003391051,キロ圏（東京・大阪・名古屋）の男女別人口，面積，人口密度，全国に占める割合，人口性比，年齢（3区分）別割合，一般世帯数，一般世帯人員，1世帯当たり人員，施設等の世帯人員，一般世帯に占める割合，持ち家率及び1世帯当たり延べ面積（平成12年）
0003391045,キロ圏（東京・大阪・名古屋）の常住人口，昼間人口，昼夜間人口比率及び常住地又は従業地による産業（3区分）別15歳以上就業者数（平成12年）
0003391075,男女別人口，面積，人口密度，人口性比，年齢（3区分）別割合，昼夜間人口比率，常住地による15歳以上就業者数，従業地による15歳以上就業者の産業別割合，一般世帯数，1世帯当たり人員，一般世帯に占める割合，持ち家率及び1世帯当たり延べ面積－全国，都道府県，市区町村（平成12年）
0003413865,男女別人口及び人口性比－全国*，都道府県（大正9年～平成12年）
0003404306,年齢（各歳），男女別人口及び人口性比－全国（大正9年，昭和35年，45年，55年，平成2年～12年）
0003404318,年齢（5歳階級），男女別人口及び人口性比－全国*（大正9年～平成12年） その1全国－大正9年～平成12年
0003404331,年齢（5歳階級），男女別人口及び人口性比－都道府県（平成7年・12年）
0003389843,全国，市部，郡部別人口及び人口の割合（大正9年～平成12年）
0003405527,労働力状態（2区分），年齢（5歳階級），男女別15歳以上人口－全国（大正9年～平成12年） その１  15歳以上人口
0003380065,都道府県別面積，人口密度及び人口密度の指数（大正9年～平成12年）
0003403683,都道府県の市部，郡部別人口及び市部人口の割合（大正9年～平成12年）
0004019302,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019302,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019302,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019304,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（5歳階級），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019304,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（5歳階級），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019304,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（5歳階級），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019305,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（3区分），国籍総数か日本人別人口構成比［年齢別］－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019305,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（3区分），国籍総数か日本人別人口構成比［年齢別］－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019305,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（3区分），国籍総数か日本人別人口構成比［年齢別］－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019322,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019322,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019322,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019324,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口構成比［配偶関係別］（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019324,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口構成比［配偶関係別］（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019324,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口構成比［配偶関係別］（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019341,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019341,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019341,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019343,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（5歳階級），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019343,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（5歳階級），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019343,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（5歳階級），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019344,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（3区分），国籍総数か日本人別人口構成比［年齢別］－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019344,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（3区分），国籍総数か日本人別人口構成比［年齢別］－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019344,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（3区分），国籍総数か日本人別人口構成比［年齢別］－全国，都道府県，21大都市，特別区，人口50万以上の市
0004019361,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019361,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019361,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019363,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口構成比［配偶関係別］（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019363,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口構成比［配偶関係別］（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0004019363,年齢・国籍（日本人・外国人の別）・配偶関係の不詳補完（人口等基本集計に対応） 男女，年齢（各歳），配偶関係，国籍総数か日本人別人口構成比［配偶関係別］（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市
0003404333,配偶関係（4区分），男女別15歳以上人口－全国*，都道府県（平成7年・12年）
0003385913,在学か否かの別・最終卒業学校の種類（5区分），男女別15歳以上人口－全国*，都道府県（平成2年・12年）
0003404335,労働力状態（8区分），年齢（5歳階級），男女別15歳以上人口－全国（平成7年・12年）
0003385954,年齢（5歳階級），男女別15歳以上労働力人口及び労働力率－全国*，都道府県（平成7年・12年）
0003388166,居住期間（6区分），男女別人口－全国*，都道府県（平成12年）
0003390942,現住都道府県による5年前の常住地（6区分），労働力状態（5区分），産業（大分類），男女別15歳以上人口（転入）－全国（平成2年・12年）
0004020973,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地・現住地別人口－全国，都道府県，市区町村
0004020973,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地・現住地別人口－全国，都道府県，市区町村
0004020973,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地・現住地別人口－全国，都道府県，市区町村
0004019521,従業地・通学地の不詳補完（従業地・通学地による人口・就業状態等集計に対応） 男女，常住地又は従業地・通学地別人口－全国，都道府県，市区町村
0004019521,従業地・通学地の不詳補完（従業地・通学地による人口・就業状態等集計に対応） 男女，常住地又は従業地・通学地別人口－全国，都道府県，市区町村
0004019521,従業地・通学地の不詳補完（従業地・通学地による人口・就業状態等集計に対応） 男女，常住地又は従業地・通学地別人口－全国，都道府県，市区町村
0004020974,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地（全国［総数］，都道府県，市区町村）別人口－全国，都道府県，市区町村（現住地）
0004020974,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地（全国［総数］，都道府県，市区町村）別人口－全国，都道府県，市区町村（現住地）
0004020974,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地（全国［総数］，都道府県，市区町村）別人口－全国，都道府県，市区町村（現住地）
0004020975,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0004020975,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0004020975,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0004019720,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地・現住地別人口－全国，都道府県，市区町村
0004019720,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地・現住地別人口－全国，都道府県，市区町村
0004019720,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地・現住地別人口－全国，都道府県，市区町村
0004019140,従業地・通学地の不詳補完（従業地・通学地による人口・就業状態等集計に対応） 男女，常住地又は従業地・通学地別人口－全国，都道府県，市区町村
0004019140,従業地・通学地の不詳補完（従業地・通学地による人口・就業状態等集計に対応） 男女，常住地又は従業地・通学地別人口－全国，都道府県，市区町村
0004019140,従業地・通学地の不詳補完（従業地・通学地による人口・就業状態等集計に対応） 男女，常住地又は従業地・通学地別人口－全国，都道府県，市区町村
0004019721,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地（全国［総数］，都道府県，市区町村）別人口－全国，都道府県，市区町村（現住地）
0004019721,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地（全国［総数］，都道府県，市区町村）別人口－全国，都道府県，市区町村（現住地）
0004019721,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），5年前の常住地（全国［総数］，都道府県，市区町村）別人口－全国，都道府県，市区町村（現住地）
0004020520,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0004020520,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0004020520,5年前の常住地の不詳補完（移動人口の男女・年齢等集計に対応） 男女，年齢（5歳階級），現住地（全国，都道府県，市区町村）別人口－全国［総数］，都道府県，市区町村（5年前の常住地）
0000030003,総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（１２２），出生の月（５），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別
0000030004,総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（８６），配偶関係（５），１５歳以上人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別
0000030129,総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（１２２），出生の月（５），人口 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別
0000030131,総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（８６），配偶関係（５），１５歳以上人口 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別
0000030134,男女の別（性別）（３），入居時期・前住地（２１），年齢５歳階級（２０），人口 都道府県・市部・郡部・ＤＩＤ（都道府県）・県庁所在都市・人口３０万以上の市，全域・人口集中地区の別
0000030141,男女の別（性別）（３），年齢５歳階級（１６），労働力状態（１２），１５歳以上人口 都道府県・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別
0000030268,男女の別（性別）（３），世帯の経済構成（１６），普通世帯の１５歳未満人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別
0000030306,都市計画の地域区分（３０），男女別（３）人口総数・１５歳未満の人口・６５歳以上の人口 全国・都道府県（４７）
0000034066,男女（３）、年齢（５歳階級２０Ｃ）、常住地による人口（７）、人口 （常住）全国・都道府県・市区町村
0000034067,男女（３）、年齢（５歳階級２０Ｃ）、常住地による人口（４区分Ｂ）、１５歳以上就業者数 （常住）全国・都道府県・市区町村
0000034068,男女（３）、年齢（５歳階級２０Ｃ）、従業地・通学地による人口（３A）、人口 （従通）全国・都道府県・市区町村
0000034069,男女（３）、年齢（５歳階級２０Ｃ）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従通）全国・都道府県・市区町村
0000034070,有配偶の女性就業者（３）、常住地による人口（７）、人口 （常住）全国・都道府県・市区町村
0000034071,有配偶の女性就業者（３）、常住地による人口（４区分Ｂ）、１５歳以上就業者数 （常住）全国・都道府県・市区町村
0000034072,有配偶の女性就業者（３）、従業地・通学地による人口（３A）、人口 （従通）全国・都道府県・市区町村
0000034073,有配偶の女性就業者（３）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従通）全国・都道府県・市区町村
0000034085,配偶関係（４）、男女（３）、１５歳以上年齢（５歳階級１９）、常住地による人口（５）、１５歳以上就業者数 （常住）全国・都道府県・人口１０万以上の市
0000034086,配偶関係（４）、男女（３）、１５歳以上年齢（５歳階級１９）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従通）全国・都道府県・人口１０万以上の市
0000034087,男女（３）、産業（大分類）、常住地による人口（５）、１５歳以上就業者数 （常住）全国・都道府県・市区町村
0000034088,男女（３）、産業（大分類）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従通）全国・都道府県・市区町村
0000033782,人口、平成１２年組替人口、人口増減数、人口増減率、面積、人口密度 都道府県・市部・郡部・支庁・市区町村、全域・人口集中地区（００～１０）の別
0000033803,国籍（２区分）、１５歳以上年齢（各歳）、男女（２区分）・配偶関係（４区分）、１５歳以上人口 都道府県・市部・郡部・１５大都市・人口２０万以上の市・県庁所在市・区、全域・人口集中地区の別
0000033805,国籍（２区分）、１５歳以上年齢（５歳階級）、男女（２区分）・配偶関係（４区分）、１５歳以上人口 北海道の支庁・人口２０万未満の市町村、全域・人口集中地区の別
0000033638,年齢（５歳階級）、男女（２区分）、人口、都道府県（４７）・都道府県市部・１５大都市・人口５０万以上の市区・人口２０万以上の市
0000033641,年齢（５歳階級）、男女（２区分）、人口（日本人）、都道府県（４７）・都道府県市部・１５大都市・人口５０万以上の市区・人口２０万以上の市
